,StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
0,1001,17.0,Female,Caucasian,Some College,19.833722807854716,7,1,Moderate,0,0,1,0,2.929195591667681
1,1002,18.0,Male,Caucasian,High School,15.40875605584674,0,0,Low,0,0,0,0,3.042914833436377
2,1003,15.0,Male,Asian,Bachelors,4.21056976881226,26,0,Moderate,0,0,0,0,0.1126022544661815
3,1004,17.0,Female,Caucasian,Bachelors,10.028829473958217,14,0,High,1,0,0,0,2.0542181397029484
4,1005,17.0,Female,Caucasian,Some College,4.6724952729713305,17,1,High,0,0,0,0,1.2880611817953875
5,1006,18.0,Male,Caucasian,High School,8.191218545250186,0,0,Low,1,0,0,0,3.0841836144863937
6,1007,15.0,Male,African American,High School,15.601680474699297,10,0,High,0,1,0,0,2.748237414891583
7,1008,,Female,African American,Higher,15.424496305808074,22,1,Low,1,0,0,0,1.360142712316461
8,1009,17.0,Male,Caucasian,None,4.562007558047703,1,0,Moderate,0,1,0,1,2.896819189513569
9,1010,16.0,Female,Caucasian,High School,18.4444663630972,0,0,High,1,0,0,0,3.5734742103297656
10,1011,17.0,Male,Caucasian,High School,11.851363655296536,11,0,Low,0,0,0,0,2.1471716250185144
11,1012,17.0,Male,Caucasian,High School,7.59848581924029,15,0,Moderate,0,0,0,1,1.5595945190402771
12,1013,17.0,Male,African American,High School,10.038711615617212,21,0,High,1,0,0,0,1.520077814874808
13,1014,17.0,Male,African American,Some College,12.101425068754876,21,0,Very High,0,1,0,0,1.7515809583340785
14,1015,18.0,Female,Caucasian,High School,11.197810636915708,9,1,Moderate,0,0,0,0,2.396788117124796
15,1016,15.0,Male,Caucasian,Some College,9.728100710723565,17,1,None,0,1,0,0,1.3415207165346672
16,1017,18.0,Male,Other,High School,10.098656081788002,14,0,Moderate,1,1,0,0,2.232175277715976
17,1018,18.0,Female,Caucasian,None,3.5282382085577235,16,1,Moderate,0,0,0,0,1.3844041756940335
18,1019,18.0,Male,African American,Bachelors,16.25465808609359,29,0,Moderate,1,0,0,1,0.4695533233798704
19,1020,17.0,Male,Caucasian,High School,10.835206398820308,9,0,Moderate,0,0,1,0,2.3957840945307
20,1021,,Female,Caucasian,Bachelors,2.621597234094062,2,0,High,0,0,0,1,2.778411299920653
21,1022,15.0,Male,Caucasian,Some College,15.32314203165556,25,0,Low,1,0,0,0,0.3468940367050148
22,1023,16.0,Female,African American,None,18.648879567547016,29,1,Low,0,0,0,0,0.3125462305253549
23,1024,18.0,Female,Other,Higher,18.94613798473924,20,0,Moderate,1,0,0,0,1.7701318767799732
24,1025,18.0,Female,Caucasian,High School,7.380354648223455,15,0,Moderate,0,0,0,0,1.5051556220362858
25,1026,16.0,Female,Caucasian,Bachelors,2.7103374712150807,5,0,Very High,0,0,1,0,2.977851918315743
26,1027,16.0,Male,Caucasian,High School,10.367992532661304,2,0,Moderate,0,1,0,0,2.948717671911921
27,1028,16.0,Female,Caucasian,Bachelors,2.2521845869844137,8,0,High,0,0,1,0,2.145204720467192
28,1029,18.0,Male,Caucasian,None,18.679748370252344,10,0,High,1,0,0,0,2.854803928981318
29,1030,,Male,Caucasian,Some College,3.67159254710292,20,0,High,1,0,0,0,1.519441725815139
30,1031,15.0,Male,Asian,Some College,5.055317199023282,12,1,None,0,1,0,0,1.727120309522409
31,1032,15.0,Male,Caucasian,Bachelors,8.132730537699409,17,0,Very High,0,0,0,1,1.8475354711387904
32,1033,18.0,Male,Caucasian,Bachelors,7.663289371182516,25,0,Low,0,1,0,0,0.3846169728564877
33,1034,16.0,Male,Other,Bachelors,15.89325784795778,21,0,None,1,1,0,0,0.94940609779728
34,1035,16.0,Male,Caucasian,Bachelors,9.126336411019247,27,1,Moderate,1,1,0,0,1.1409594184203395
35,1036,15.0,Male,Other,High School,3.415365200066738,23,0,Low,0,0,0,0,0.2614722600507521
36,1037,18.0,Male,Caucasian,High School,5.344197909721482,26,1,Low,0,0,0,0,0.2182848568210317
37,1038,15.0,Male,Asian,High School,10.18226770375044,21,1,Low,0,1,0,0,1.0677635510419796
38,1039,15.0,Female,African American,High School,2.949078348522698,3,1,Low,1,1,0,0,3.0189058584279675
39,1040,17.0,Female,Asian,High School,12.233113512920282,21,1,High,1,1,0,0,1.5268678317927231
40,1041,17.0,Female,Other,Some College,11.314946131022918,23,1,Low,0,0,0,0,1.0582873996898603
41,1042,17.0,Male,Caucasian,High School,14.294046327645152,7,0,Moderate,0,0,0,0,2.625128097732231
42,1043,16.0,Female,Other,Some College,18.754092307587356,12,1,Very High,0,0,0,0,2.8087548220286536
43,1044,18.0,Female,Caucasian,High School,18.245091222023117,9,0,Moderate,0,1,0,0,2.888891669272444
44,1045,18.0,Female,Caucasian,High School,18.921512361376628,1,1,High,1,1,0,0,4.0
45,1046,18.0,Male,Caucasian,Some College,4.894311940474019,7,0,Very High,0,0,1,0,2.515300272256249
46,1047,18.0,Male,African American,Some College,2.6313061327870924,5,0,Low,1,0,0,0,2.5637654300150947
47,1048,17.0,Male,Caucasian,Some College,6.04553400992897,15,0,Moderate,0,0,0,0,1.7036118032323682
48,1049,16.0,Male,African American,Some College,17.90170345532629,17,0,High,0,0,1,0,2.0998851567205854
49,1050,16.0,Female,African American,High School,19.441069492469765,16,0,Very High,1,0,0,0,2.4610469629080955
50,1051,17.0,Female,Asian,Some College,17.18649902140952,5,0,High,0,0,0,0,2.935477191694632
51,1052,16.0,Female,Asian,None,2.200354422550872,12,1,Low,1,0,1,0,1.9863780592187463
52,1053,17.0,Female,Caucasian,High School,18.948559961195865,22,0,Very High,0,0,1,0,1.5715441913992825
53,1054,18.0,Male,Caucasian,Some College,8.46716054701572,13,0,Low,0,1,0,0,1.6643106896610833
54,1055,17.0,Male,Caucasian,None,0.1862058152470735,29,1,Moderate,1,1,0,0,0.7562591665741925
55,1056,18.0,Male,Caucasian,High School,8.847874814963872,25,0,Moderate,0,1,0,0,0.8027695392342074
56,1057,18.0,Female,Caucasian,Higher,0.9213833935093518,20,0,Moderate,0,1,1,0,1.3423871779577343
57,1058,15.0,Male,Caucasian,Higher,10.87755842322235,29,0,High,1,0,0,0,0.2865712882866222
